algorithm,n,input_type,time_ms,comparisons,max_depth,iterations
MergeSort,1000,random,0.063083,9368,8,0
QuickSort,1000,random,0.077459,16232,6,0
QuickSelect,1000,random,0.112542,5089,0,12
MergeSort,1000,sorted,0.009,4236,8,0
QuickSort,1000,sorted,0.0675,17430,6,0
QuickSelect,1000,sorted,0.082209,3847,0,12
MergeSort,1000,duplicates,0.193708,9036,8,0
QuickSort,1000,duplicates,0.022625,5182,2,0
QuickSelect,1000,duplicates,0.039834,4265,0,5
MergeSort,10000,random,0.3635,127002,11,0
QuickSort,10000,random,0.447583,227414,8,0
QuickSelect,10000,random,0.159917,45146,0,14
MergeSort,10000,sorted,0.273166,59248,11,0
QuickSort,10000,sorted,0.2615,253388,8,0
QuickSelect,10000,sorted,0.230209,58343,0,14
MergeSort,10000,duplicates,0.186,121712,11,0
QuickSort,10000,duplicates,0.09475,53965,2,0
QuickSelect,10000,duplicates,0.090958,27166,0,3
MergeSort,100000,random,6.6135,1639825,14,0
QuickSort,100000,random,5.490542,3008171,11,0
QuickSelect,100000,random,0.828,622578,0,22
MergeSort,100000,sorted,1.857416,744016,14,0
QuickSort,100000,sorted,2.89725,3173327,10,0
QuickSelect,100000,sorted,0.234583,542960,0,24
MergeSort,100000,duplicates,3.59425,1563025,14,0
QuickSort,100000,duplicates,0.928333,558549,2,0
QuickSelect,100000,duplicates,0.551,359324,0,4
MergeSort,1000000,random,73.044834,19886430,18,0
QuickSort,1000000,random,60.230292,36363600,13,0
QuickSelect,1000000,random,5.77175,4631187,0,21
MergeSort,1000000,sorted,17.893959,9071040,18,0
QuickSort,1000000,sorted,29.923667,38002891,13,0
QuickSelect,1000000,sorted,2.507958,5771151,0,29
MergeSort,1000000,duplicates,35.896209,18922524,18,0
QuickSort,1000000,duplicates,8.154875,6000268,2,0
QuickSelect,1000000,duplicates,6.015209,4100443,0,4
