algorithm,n,input_type,run,time_ns,comparisons,max_depth,iterations
MergeSort,1000,random,1,76584,9368,8,0
MergeSort,1000,random,2,90334,9368,8,0
MergeSort,1000,random,3,63083,9368,8,0
MergeSort,1000,random,4,45666,9368,8,0
MergeSort,1000,random,5,56667,9368,8,0
QuickSort,1000,random,1,88417,19244,6,0
QuickSort,1000,random,2,84000,16287,5,0
QuickSort,1000,random,3,77459,16232,6,0
QuickSort,1000,random,4,75209,15250,6,0
QuickSort,1000,random,5,77209,15849,5,0
QuickSelect,1000,random,1,81334,3430,0,10
QuickSelect,1000,random,2,74209,3250,0,5
QuickSelect,1000,random,3,137750,6306,0,15
QuickSelect,1000,random,4,130708,5746,0,12
QuickSelect,1000,random,5,112542,5089,0,14
MergeSort,1000,sorted,1,9541,4236,8,0
MergeSort,1000,sorted,2,8958,4236,8,0
MergeSort,1000,sorted,3,9750,4236,8,0
MergeSort,1000,sorted,4,9000,4236,8,0
MergeSort,1000,sorted,5,8666,4236,8,0
QuickSort,1000,sorted,1,67584,17430,6,0
QuickSort,1000,sorted,2,69834,18409,6,0
QuickSort,1000,sorted,3,66000,17052,6,0
QuickSort,1000,sorted,4,67500,17182,6,0
QuickSort,1000,sorted,5,66875,17890,6,0
QuickSelect,1000,sorted,1,57916,2690,0,12
QuickSelect,1000,sorted,2,132666,6392,0,16
QuickSelect,1000,sorted,3,139583,6440,0,22
QuickSelect,1000,sorted,4,66666,2899,0,7
QuickSelect,1000,sorted,5,82209,3847,0,12
MergeSort,1000,duplicates,1,193708,9036,8,0
MergeSort,1000,duplicates,2,191958,9036,8,0
MergeSort,1000,duplicates,3,193041,9036,8,0
MergeSort,1000,duplicates,4,250875,9036,8,0
MergeSort,1000,duplicates,5,204917,9036,8,0
QuickSort,1000,duplicates,1,23167,5210,2,0
QuickSort,1000,duplicates,2,21333,4873,3,0
QuickSort,1000,duplicates,3,19708,5182,2,0
QuickSort,1000,duplicates,4,22958,5066,2,0
QuickSort,1000,duplicates,5,22625,7177,2,0
QuickSelect,1000,duplicates,1,39916,3666,0,3
QuickSelect,1000,duplicates,2,39834,6118,0,7
QuickSelect,1000,duplicates,3,47833,4265,0,5
QuickSelect,1000,duplicates,4,39042,6455,0,7
QuickSelect,1000,duplicates,5,25500,3396,0,2
MergeSort,10000,random,1,376792,127002,11,0
MergeSort,10000,random,2,368417,127002,11,0
MergeSort,10000,random,3,363500,127002,11,0
MergeSort,10000,random,4,360250,127002,11,0
MergeSort,10000,random,5,359792,127002,11,0
QuickSort,10000,random,1,910041,241974,9,0
QuickSort,10000,random,2,447583,227414,8,0
QuickSort,10000,random,3,465667,221988,9,0
QuickSort,10000,random,4,443042,222724,8,0
QuickSort,10000,random,5,433584,229229,8,0
QuickSelect,10000,random,1,148417,45146,0,13
QuickSelect,10000,random,2,236958,72631,0,14
QuickSelect,10000,random,3,226417,60957,0,14
QuickSelect,10000,random,4,159917,38113,0,17
QuickSelect,10000,random,5,150334,33263,0,14
MergeSort,10000,sorted,1,338041,59248,11,0
MergeSort,10000,sorted,2,272500,59248,11,0
MergeSort,10000,sorted,3,302250,59248,11,0
MergeSort,10000,sorted,4,261958,59248,11,0
MergeSort,10000,sorted,5,273166,59248,11,0
QuickSort,10000,sorted,1,273041,286718,8,0
QuickSort,10000,sorted,2,257333,253388,9,0
QuickSort,10000,sorted,3,261500,273763,8,0
QuickSort,10000,sorted,4,249500,244949,8,0
QuickSort,10000,sorted,5,376042,243064,8,0
